"","Estimate","Std. Error","2.5 %","97.5 %","Pr(>|t|)","pAdj_bonf","pAdj_fdr"
"videogames_time.39",-1.36760420329814e-07,7.40233415404406e-08,-2.81941671487111e-07,8.42083082748386e-09,0.0648351172428655,1,0.310373407580147
"social_activities_time.39",1.59784860032104e-07,8.57847124935602e-08,-8.46385220929123e-09,3.280335722735e-07,0.0626785761838585,1,0.310373407580147
"tv_time.40",6.75957020549531e-08,6.965955862725e-08,-6.90268530123462e-08,2.04218257122252e-07,0.331992005832604,1,0.47892216142916
"video_time.40",1.35021101441051e-07,7.01265054523904e-08,-2.51727149228732e-09,2.7255947437439e-07,0.0543383534626174,1,0.310373407580147
"videogames_time.40",-1.26305902918069e-07,7.09194037528263e-08,-2.65399378896113e-07,1.27875730599755e-08,0.075085476726474,1,0.310373407580147
"social_activities_time.40",1.42994736063623e-07,8.24613174922401e-08,-1.87357731733167e-08,3.04725245300564e-07,0.0830754988968377,1,0.310373407580147
"tv_time.41",4.23545441590759e-08,7.36523024905034e-08,-1.02098340883723e-07,1.86807429201875e-07,0.565322040641302,1,0.642538798221071
"video_time.41",1.49556328962151e-07,7.40882280623393e-08,4.24847123844042e-09,2.94864186685863e-07,0.0436741117113178,1,0.310373407580147
"videogames_time.41",-8.74496932398616e-08,7.46059157409816e-08,-2.3377288213724e-07,5.88734956575169e-08,0.24128979414927,1,0.416378564531881
"social_activities_time.41",1.46234946326099e-07,8.74021206162445e-08,-2.5185200158842e-08,3.17655092811039e-07,0.0944756460429371,1,0.310373407580147
"tv_time.42",9.0506386392086e-08,6.53640300591292e-08,-3.76914423898419e-08,2.18704215174014e-07,0.166331696237805,1,0.372414019788784
"video_time.42",6.79558517004298e-08,6.58340892264364e-08,-6.11638994995822e-08,1.97075602900442e-07,0.302104326695051,1,0.456513204783633
"videogames_time.42",1.36253096350416e-09,6.65771654134704e-08,-1.29214608248097e-07,1.31939670175105e-07,0.983674362343803,1,0.984799490091524
"social_activities_time.42",5.58462107830604e-09,7.73764606833395e-08,-1.46173069649469e-07,1.57342311806081e-07,0.942470960400785,1,0.970458453565918
"tv_time.43",4.44771973699342e-08,5.99509987563425e-08,-7.31036204806114e-08,1.6205801522048e-07,0.458249195400296,1,0.556539546156917
"video_time.43",1.46526422879065e-07,6.0325093503996e-08,2.82118997142603e-08,2.64840946043871e-07,0.015240040980502,1,0.310373407580147
"videogames_time.43",-7.8035264985035e-08,6.09199920721765e-08,-1.97516552034276e-07,4.14460220642064e-08,0.200377295234393,1,0.386543434778404
"social_activities_time.43",1.34625048286478e-07,7.11429149060077e-08,-4.90627383407624e-09,2.74156370407032e-07,0.0586088159573193,1,0.310373407580147
"tv_time.44",7.42555531317365e-08,7.31520407928602e-08,-6.921617798841e-08,2.17727284251883e-07,0.31020149119297,1,0.463060857010001
