"Fitted values"	"Residuals"
1437350.09056706	151439.909432944
1460206.20653516	101303.793464843
1501575.90267554	99794.097324465
1507528.79856848	73701.2014315236
1499382.85733151	-25022.8573315125
1480590.19738682	99809.802613184
1405375.54393207	133474.45606793
1442371.73999344	55738.2600065606
1572248.32526457	87851.6747354309
1576344.14804359	71955.8519564068
1502157.68013444	-14737.6801344449
1484505.98883422	67614.0111657841
1294334.402132	48425.5978679968
1292228.96883629	75571.0311637115
1580178.06373692	124341.936263077
1585884.90244611	129095.097553888
1571184.61833594	-287714.618335936
1588877.56832505	-271207.568325054
1556644.66472732	-40784.6647273204
1548637.3338848	83772.6661152002
1428588.32136159	132891.678638407
1423668.07486661	144211.925133389
1535772.46008828	-300102.46008828
1533371.54278967	-159831.542789671
1486115.94690726	5734.05309273962
1488207.1044647	23302.8955352967
1579098.73083026	57741.2691697441
1576703.89686205	149636.103137954
1453484.61845154	-166894.618451542
1442713.18993041	-157723.189930414
1530688.77377645	32611.226223547
1551216.0807426	13443.9192573979
1460977.55192656	-145617.551926555
1453520.29634632	-98960.2963463223
1578406.96751505	7483.03248494651
1575078.87018104	71521.1298189603
1306464.48410019	-77804.4841001869
1336775.35378386	2624.64621614111
1481299.43242869	-135549.432428694
1481329.13802768	-128449.138027676
1526873.58382001	253246.416179995
1529066.22106521	188183.778934794
1424135.17917237	-62475.1791723682
1422866.55487423	-65786.5548742267
1357540.727328	25579.2726719969
1353379.60701423	113210.392985771
1297773.52119064	40856.4788093628
1304184.40514177	69115.5948582289
1401736.87754632	-167526.877546318
1436102.39798129	45177.6020187128
1525301.28984378	-117021.289843778
1552553.14994089	-142793.14994089
1285231.95781911	-29541.9578191141
1324077.96975097	-49387.9697509697
1366601.84573609	208288.154263909
1371754.37962385	255075.620376154
1458732.20002278	131047.799977221
1464999.43608717	146890.563912834
1436660.67564789	-116200.675647893
1442674.20899044	-168534.208990441
1369584.31474018	-76254.3147401793
1370614.61197003	-34144.6119700329
1338321.17719518	57878.8228048187
1304467.26124968	152162.738750322
1538243.96402351	2406.03597649022
1544350.15221578	-99310.1522157827
1241015.02653123	142304.973468774
1245112.92593297	191787.074067035
1486463.84331314	28156.156686862
1467429.92952582	58340.0704741785
1597143.64387177	157086.356128226
1602331.08016786	273978.919832142
1344247.06405913	43852.935940871
1338644.66990446	107485.330095538
1596646.21520694	-24986.2152069384
1608264.61320922	-63934.6132092226
1537422.25070794	61277.7492920563
1533891.02915248	3528.97084751848
1470102.23032644	-75302.2303264393
1470408.83329982	-65178.8332998226
1496417.69646659	-95587.6964665874
1497012.26901804	113707.730981961
1584713.72563282	179936.274367177
1598153.88740504	153356.112594955
1492175.23527636	-168665.235276363
1498217.35502556	-150317.35502556
1387824.95238547	374695.04761453
1400633.36723186	43686.6327681404
1278697.95749231	-110757.957492313
1271507.59700994	-116897.597009943
1421295.91614185	-70475.9161418541
1422517.11595534	-47637.1159553409
1567006.62418488	78183.3758151158
1555947.7954627	129812.204537301
1400560.59848858	-117700.59848858
1407690.30925632	-137480.309256323
1444276.50504984	-1196.50504984457
1453143.33286539	-47223.3328653883
1570946.70226872	126833.297731281
1575774.26144153	79645.7385584664
1361096.02723048	-142656.027230479
1348879.59688343	-7599.59688342713
1393274.27798976	-34844.2779897564
1370129.10196478	34250.8980352169
1538519.51733906	85200.4826609434
1552431.85733921	121858.142660795
1345383.20450522	-95623.2045052189
1444201.77963279	-240001.779632786
1478367.07373813	43782.9262618666
1477689.78062058	63160.2193794216
1611153.85066647	12286.1493335284
1617458.90156979	28131.0984302135
1623685.74709119	-36255.7470911915
1599958.1558575	-71898.1558574966
1543857.92951258	10182.0704874152
1558807.05431528	-32997.0543152771
1448057.52507918	-73617.5250791797
1439121.00320175	35078.996798251
