"","Estimate","Std. Error","2.5 %","97.5 %","Pr(>|t|)","pAdj_bonf","pAdj_fdr"
"social_activities_time.15",1.3377114810214e-05,4.51713162395842e-05,-7.52169096427459e-05,0.000101971139263174,0.767156128009155,1,0.962006485980448
"tv_time.16",-5.18861204202578e-05,6.25700871675485e-05,-0.000174604170147751,7.08319293072357e-05,0.407074585698735,1,0.841416144722574
"video_time.16",0.000180660352145906,6.29502054841123e-05,5.71967803872616e-05,0.00030412392390455,0.00415429396059802,1,0.297387453984209
"videogames_time.16",-4.94716545028875e-05,6.41830020325077e-05,-0.00017535309708413,7.64097880783551e-05,0.440932728325958,1,0.846427263324852
"social_activities_time.16",-4.42893228643051e-05,7.35127940777032e-05,-0.000188469187838401,9.98905421097911e-05,0.546936963735953,1,0.936133494922146
"tv_time.17",1.64922169095666e-05,1.87489085164647e-05,-2.02798328197335e-05,5.32642666388667e-05,0.379174544612664,1,0.841416144722574
"video_time.17",-1.89912010960726e-06,1.87892645657497e-05,-3.87503197611486e-05,3.49520795419341e-05,0.919502446269462,1,0.973205697862746
"videogames_time.17",4.45115078759082e-05,1.91366092018004e-05,6.97906460856672e-06,8.20439511432498e-05,0.0201304255122492,1,0.381926826300656
"social_activities_time.17",-1.5294147268793e-05,2.19398429590567e-05,-5.83245453122304e-05,2.77362507746444e-05,0.485834080589318,1,0.891647487922194
"tv_time.18",-8.22161193734784e-05,4.81493381835535e-05,-0.000176650906746122,1.22186679991652e-05,0.0878981311858223,1,0.583129065427894
"video_time.18",5.18880527087163e-05,4.84660348335696e-05,-4.31678684517248e-05,0.000146943973869157,0.284490646092873,1,0.800325523442129
"videogames_time.18",2.95181668600706e-06,4.91427236796582e-05,-9.34312871462751e-05,9.93349205182892e-05,0.952109610944505,1,0.980961417336763
"social_activities_time.18",-6.88886721154915e-05,5.65194703833406e-05,-0.000179739711183113,4.19623669521299e-05,0.223062208330068,1,0.749048403281215
"tv_time.19",2.67426268440976e-05,6.25919938236292e-05,-9.60182493526235e-05,0.000149503503040819,0.669246221595976,1,0.955754451534128
"video_time.19",-0.000140599003174989,6.28313912438686e-05,-0.00026382940646731,-1.73685998826677e-05,0.0253617003868738,1,0.387851109950053
"videogames_time.19",8.13561159723012e-05,6.39481292389271e-05,-4.40645312534829e-05,0.000206776763198085,0.203459687887241,1,0.737880468071062
"social_activities_time.19",-3.09256873407717e-05,7.44906062699665e-05,-0.000177023159804956,0.000115171785123412,0.678072780088998,1,0.955754451534128
"tv_time.20",6.09271649922112e-05,0.000101201677602414,-0.000137557646934139,0.000259411976918561,0.547225094458166,1,0.936133494922146
"video_time.20",5.03017780516123e-05,0.000102464271416646,-0.000150659333692036,0.000251262889795261,0.623542618507103,1,0.953148228117433
"videogames_time.20",-2.18066754521107e-05,0.000104241530254453,-0.000226253489157661,0.00018264013825344,0.834320618920625,1,0.962006485980448
